id,exercicio,variacao,busca,arquivo,score,status
666,Supino,Reto halter,Supino Reto halter,PEITORAL/Supino Declinado com Halteres.gif,0.6809,SEM_MATCH
668,Supino,Inclinado halter,Supino Inclinado halter,PEITORAL/Supino Inclinado com Halteres.gif,0.8846,MATCH
672,Crucifixo,Máquina,Crucifixo Máquina,PEITORAL/Crucifixo com Cabo Declinado.gif,0.6667,SEM_MATCH
673,Crucifixo,Cross (cabo),Crucifixo Cross (cabo),PEITORAL/Crucifixo Deitado com Cabo.gif,0.7391,SEM_MATCH
675,Remada,Unilateral halter,Remada Unilateral halter,COSTAS/Remada Unilateral com Barra.gif,0.7843,SEM_MATCH
677,Remada,Cavalinho,Remada Cavalinho,COSTAS/Remada T com alavanca.gif,0.6486,SEM_MATCH
678,Puxada,Frontal aberta,Puxada Frontal aberta,GIFS CALISTENIA/Puxada Front Lever.gif,0.7692,SEM_MATCH
679,Puxada,Frontal fechada,Puxada Frontal fechada,GIFS CALISTENIA/Puxada Front Lever.gif,0.7,SEM_MATCH
680,Puxada,Neutra,Puxada Neutra,COSTAS/Puxada Alta.gif,0.75,SEM_MATCH
681,Puxada,Supinada,Puxada Supinada,COSTAS/Puxada Alta.gif,0.6923,SEM_MATCH
687,Elevação lateral,Polia,Elevação lateral Polia,OMBROS/Elevação lateral deitado.gif,0.7826,SEM_MATCH
690,Elevação frontal,Halteres,Elevação frontal Halteres,OMBROS/Elevação frontal com halteres.gif,0.9259,MATCH
691,Elevação frontal,Polia,Elevação frontal Polia,OMBROS/Elevação frontal com halteres.gif,0.7451,SEM_MATCH
696,Rosca,No cabo,Rosca No cabo,BÍCEPS/Rosca no Cabo.gif,1.0,MATCH
711,Abdução,Polia,Abdução Polia,GIFS ABDOMINAIS/Abdominal com Peso.gif,0.5161,SEM_MATCH
712,Abdução,Elástico,Abdução Elástico,GIFS TREINAMENTO FUNCIONAL/Step com elástico.gif,0.6667,SEM_MATCH
713,Panturrilha,Em pé,Panturrilha Em pé,PANTURRILHAS/Panturrilhas em Pé.gif,0.9714,MATCH
717,Agachamento,Livre,Agachamento Livre,GIFS CALISTENIA/Agachamento.gif,0.7857,SEM_MATCH
719,Agachamento,Frontal,Agachamento Frontal,PERNAS/Agachamento Frontal.gif,1.0,MATCH
725,Cadeira extensora,Unilateral,Cadeira extensora Unilateral,PERNAS/Cadeira extensora.gif,0.7556,SEM_MATCH
726,Cadeira extensora,Bilateral,Cadeira extensora Bilateral,PERNAS/Cadeira extensora.gif,0.7727,SEM_MATCH
730,Stiff,Halteres,Stiff Halteres,PERNAS/Stiff com Halter.gif,0.8,SEM_MATCH
731,Stiff,Smith,Stiff Smith,PERNAS/Stiff com Halter.gif,0.5926,SEM_MATCH
733,Afundo,Smith,Afundo Smith,GIFS TREINAMENTO FUNCIONAL/Afundo Lateral.gif,0.6154,SEM_MATCH
734,Afundo,Passada,Afundo Passada,GIFS TREINAMENTO FUNCIONAL/Afundo Lateral.gif,0.6429,SEM_MATCH
834,Supino,Supino Inclinado Com Halteres E Pegada,Supino Supino Inclinado Com Halteres E Pegada,PEITORAL/Supino inclinado com halteres e pegada fechada.gif,0.8352,SEM_MATCH
836,Supino,Supino Declinada,Supino Supino Declinada,PEITORAL/Supino inclinado com cabo.gif,0.6667,SEM_MATCH
837,Outros,Pullover Com Halteres Na Bola,Outros Pullover Com Halteres Na Bola,PEITORAL/Pullover com Halteres na Bola de Estabilidade.gif,0.716,SEM_MATCH
